# BASE_200_PROBLEMES_PLANTES_FR_EN_IT_DE
# Encodage: UTF-8. Separateur de champs: |. Separateur de taxons et de synonymes: ;.
# Les identifiants correspondent aux 200 problemes de la liste initiale.
# Les noms scientifiques des plantes sont communs aux quatre langues.
# GENERAL: probleme possible sur les plantes vasculaires selon les conditions et le stade de developpement.
# LARGE: nombreux hotes; les taxons indiques sont des exemples non exhaustifs.
# CIBLE: hotes principaux ou exemples dans un groupe cible; liste non exhaustive.
# Un genre ou une famille ne signifie pas que toutes ses especes ou varietes sont sensibles.
# Tracheophyta = plantes vasculaires. Les symptomes et la sensibilite dependent de l'espece et du contexte.
# Taxonomie: 159 noms rapproches exactement de GBIF; Streptocarpus confirme par la classification GBIF de S. ionanthus.
# Six noms conserves sous leur nom scientifique, sans correspondance GBIF automatique definitive: Allium porrum;Cedrus;Goeppertia;Hosta;Prunus dulcis;Schlumbergera.
# Synonymes pour la recherche: Pisum sativum -> Lathyrus oleraceus; Eriobotrya japonica -> Rhaphiolepis bibas.
# Dernier champ, facultatif: les autres noms sous lesquels on cherche l'entree, toutes langues melees.
# La fiche du probleme les affiche sous le titre; le titre, lui, reste celui des quatre colonnes de noms.
# Un synonyme est un autre NOM de l'entree: nom courant, nom scientifique qui circule, abreviation.
# Jamais un symptome, un traitement ni un nom de plante: les taxons hotes s'en chargent deja.
# Un synonyme que le titre permet deja de trouver n'entre pas; un test le verifie.
# La verification GBIF porte sur les noms des plantes, pas sur les relations hote-probleme.
# 118: les perce-oreilles sont aussi des auxiliaires; entree reservee aux degats observes.
# 142: Juniperus est un hote alternant. 144: Epilobium et Abies sont des hotes alternants.
# 175: concerne les semis. 181: champignons superficiels sur miellat, sans parasitisme direct de la plante.
id|type|nom_fr|nom_en|nom_it|nom_de|portee|taxons_hotes_scientifiques|synonymes_recherche
054|RAVAGEUR|Cochenilles farineuses aériennes|Above-ground mealybugs|Cocciniglie farinose delle parti aeree|Wollläuse an oberirdischen Pflanzenteilen|LARGE|Phalaenopsis;Ficus;Citrus;Crassula ovata|Cochenilles cotonneuses;Pseudococcus;Planococcus
055|RAVAGEUR|Cochenilles à bouclier|Armoured scale insects|Cocciniglie a scudetto|Deckelschildläuse|LARGE|Citrus;Nerium oleander;Euonymus japonicus;Orchidaceae|Diaspididae;Pou de San José;Cochenille virgule;Diaspis
056|RAVAGEUR|Cochenilles à carapace|Soft scale insects|Cocciniglie a scudo molle|Napfschildläuse|LARGE|Ficus;Citrus;Nerium oleander;Olea europaea|Coccidae;Saissetia;Coccus;Parthenolecanium
057|RAVAGEUR|Cochenilles des racines|Root mealybugs|Cocciniglie delle radici|Wurzelwollläuse|LARGE|Cactaceae;Crassula;Echeveria;Streptocarpus ionanthus|Rhizoecus
058|RAVAGEUR|Aleurodes|Whiteflies|Aleurodidi o mosche bianche|Weiße Fliegen|LARGE|Euphorbia pulcherrima;Hibiscus rosa-sinensis;Solanum lycopersicum;Cucumis sativus|Mouches blanches;Bemisia;Trialeurodes
059|RAVAGEUR|Thrips|Thrips|Tripidi|Thripse|LARGE|Monstera;Phalaenopsis;Cyclamen;Allium porrum|Thysanoptères;Frankliniella occidentalis;Thrips californien
060|RAVAGEUR|Tétranyques|Spider mites|Acari tetranichidi|Spinnmilben|LARGE|Solanum lycopersicum;Phaseolus vulgaris;Rosa;Ficus|Araignées rouges;Acariens rouges;Toiles d'araignée;Red spider mite;Ragnetto rosso;Rote Spinne;Tetranychus urticae
061|RAVAGEUR|Tarsonèmes|Tarsonemid mites|Acari tarsonemidi|Weichhautmilben|LARGE|Cyclamen;Fragaria;Streptocarpus;Impatiens|Acariens du cyclamen;Acariens larges;Broad mite;Polyphagotarsonemus latus;Phytonemus pallidus
062|RAVAGEUR|Acariens des galles et de l'érinose|Gall and erineum mites|Acari delle galle e dell'erinosi|Gall- und Filzmilben|LARGE|Vitis vinifera;Pyrus communis;Tilia;Fuchsia|Acariens ériophyides;Eriophyidae;Phyllocoptes;Aceria
063|RAVAGEUR|Acarien de l'acariose bronzée de la tomate|Tomato russet mite|Eriofide rugginoso del pomodoro|Tomatenrostmilbe|CIBLE|Solanum lycopersicum;Solanum melongena;Petunia|Aculops lycopersici
064|RAVAGEUR|Acariens des bulbes|Bulb mites|Acari dei bulbi|Zwiebelmilben|LARGE|Narcissus;Tulipa;Hyacinthus orientalis;Allium cepa|Rhizoglyphus
065|RAVAGEUR|Sciarides et moucherons du terreau|Fungus gnats|Sciaridi o moscerini del terriccio|Trauermücken|LARGE|Pelargonium;Cyclamen;Begonia|Mouches du terreau;Bradysia;Sciara
066|RAVAGEUR|Mouches mineuses Liriomyza|Liriomyza leaf-mining flies|Mosche minatrici Liriomyza|Liriomyza-Minierfliegen|LARGE|Solanum lycopersicum;Chrysanthemum;Gerbera;Phaseolus vulgaris|Mineuse des feuilles
067|RAVAGEUR|Cicadelles|Leafhoppers|Cicaline|Zwergzikaden|LARGE|Salvia;Rosa;Vitis vinifera|Cicadellidae;Empoasca;Cicadelle verte
068|RAVAGEUR|Flatide pruineux|Citrus flatid planthopper|Metcalfa pruinosa|Bläulingszikade|LARGE|Citrus;Vitis vinifera;Acer;Hibiscus
069|RAVAGEUR|Psylles|Psyllids|Psille|Blattflöhe|LARGE|Pyrus communis;Elaeagnus;Buxus;Albizia julibrissin|Psyllidae;Cacopsylla;Psylle du poirier
070|RAVAGEUR|Tigres et punaises réticulées|Lace bugs|Tingidi|Netzwanzen|LARGE|Rhododendron;Pieris japonica;Platanus|Tingidae;Tigre du platane;Tigre de l'azalée;Corythucha ciliata;Stephanitis
071|RAVAGEUR|Punaises pentatomides phytophages|Plant-feeding stink bugs|Pentatomidi fitofagi|Pflanzensaugende Baumwanzen|LARGE|Solanum lycopersicum;Capsicum annuum;Malus domestica;Pyrus communis|Punaise diabolique;Punaise verte;Halyomorpha halys;Nezara viridula
072|RAVAGEUR|Punaises mirides phytophages|Plant-feeding mirid bugs|Miridi fitofagi|Pflanzensaugende Weichwanzen|LARGE|Rosa;Chrysanthemum;Dahlia;Phaseolus vulgaris|Lygus;Miridae
073|RAVAGEUR|Otiorhynques|Vine weevils|Oziorrinchi|Dickmaulrüssler|LARGE|Rhododendron;Cyclamen;Heuchera;Fragaria|Charançon noir de la vigne;Otiorhynchus sulcatus;Black vine weevil
074|RAVAGEUR|Anthonomes des boutons floraux|Blossom weevils|Antonomi dei boccioli|Blütenstecher|CIBLE|Fragaria;Rubus idaeus|Anthonomus pomorum;Charançon des boutons floraux
075|RAVAGEUR|Sitones|Pea and bean weevils|Sitone|Blattrandkäfer|CIBLE|Lathyrus oleraceus;Vicia faba|Sitona lineatus;Charançon du pois
076|RAVAGEUR|Balanin des noisettes|Hazelnut weevil|Balanino del nocciolo|Haselnussbohrer|CIBLE|Corylus avellana|Curculio nucum;Ver de la noisette
077|RAVAGEUR|Doryphore|Colorado potato beetle|Dorifora della patata|Kartoffelkäfer|CIBLE|Solanum tuberosum;Solanum melongena|Leptinotarsa decemlineata;Bête à patates
078|RAVAGEUR|Criocère du lis|Lily beetle|Criocera del giglio|Lilienhähnchen|CIBLE|Lilium;Fritillaria|Lilioceris lilii;Criocère rouge du lis
079|RAVAGEUR|Criocères de l'asperge|Asparagus beetles|Criocere dell'asparago|Spargelkäfer|CIBLE|Asparagus officinalis|Crioceris asparagi
080|RAVAGEUR|Chrysomèles des plantes aromatiques|Leaf beetles of aromatic herbs|Crisomelidi delle piante aromatiche|Blattkäfer an Gewürzkräutern|CIBLE|Lavandula;Salvia rosmarinus;Mentha;Salvia officinalis|Chrysolina;Chrysomèle de la menthe;Chrysomèle du romarin
081|RAVAGEUR|Galéruque de la viorne|Viburnum leaf beetle|Galerucella del viburno|Schneeballblattkäfer|CIBLE|Viburnum opulus;Viburnum tinus|Pyrrhalta viburni
082|RAVAGEUR|Altises|Flea beetles|Altiche|Erdflöhe|LARGE|Brassica;Raphanus sativus;Eruca|Phyllotreta;Puces de terre
083|RAVAGEUR|Larves de hannetons phytophages|Root-feeding chafer grubs|Larve fitofaghe di maggiolini|Wurzelfressende Engerlinge|LARGE|Fragaria;Lactuca sativa;Solanum tuberosum;Poaceae|Vers blancs;White grubs;Melolontha
084|RAVAGEUR|Taupins et vers fil-de-fer|Click beetles and wireworms|Elateridi e ferretti|Schnellkäfer und Drahtwürmer|LARGE|Solanum tuberosum;Daucus carota;Lactuca sativa|Agriotes;Ver jaune
085|RAVAGEUR|Larves de tipules|Leatherjackets|Larve di tipula|Schnakenlarven|LARGE|Lactuca sativa;Brassica oleracea;Poaceae|Larves de cousins
086|RAVAGEUR|Courtilières|Mole crickets|Grillotalpe|Maulwurfsgrillen|LARGE|Solanum lycopersicum;Lactuca sativa;Solanum tuberosum;Allium cepa|Gryllotalpa;Taupe-grillon
087|RAVAGEUR|Limaces|Slugs|Limacce|Nacktschnecken|LARGE|Hosta;Delphinium;Lactuca sativa;Tagetes|Arion;Deroceras;Gastéropodes
088|RAVAGEUR|Escargots|Snails|Chiocciole|Gehäuseschnecken|LARGE|Hosta;Delphinium;Lactuca sativa;Tagetes|Petit-gris;Cornu aspersum;Helix;Gastéropodes
089|RAVAGEUR|Pyrale du buis|Box-tree moth|Piralide del bosso|Buchsbaumzünsler|CIBLE|Buxus|Cydalima perspectalis;Chenille du buis
090|RAVAGEUR|Brun du pélargonium|Geranium bronze butterfly|Licenide del geranio|Pelargonien-Bläuling|CIBLE|Pelargonium|Cacyreus marshalli
091|RAVAGEUR|Piérides du chou|Cabbage white butterflies|Cavolaie|Kohlweißlinge|CIBLE|Brassica;Raphanus sativus;Tropaeolum majus|Pieris brassicae;Pieris rapae;Chenilles du chou;Papillon blanc
092|RAVAGEUR|Teigne des crucifères|Diamondback moth|Tignola delle crucifere|Kohlmotte|CIBLE|Brassicaceae|Plutella xylostella
093|RAVAGEUR|Teigne du poireau|Leek moth|Tignola del porro|Lauchmotte|CIBLE|Allium porrum;Allium cepa;Allium sativum|Acrolepiopsis assectella;Ver du poireau
094|RAVAGEUR|Noctuelles terricoles et vers gris|Cutworms|Nottue terricole|Erdraupen|LARGE|Lactuca sativa;Brassica oleracea;Solanum lycopersicum|Agrotis;Noctua;Chenilles qui coupent les plants
095|RAVAGEUR|Noctuelles défoliatrices et des fruits|Leaf- and fruit-feeding noctuid caterpillars|Nottue defogliatrici e dei frutti|Blatt- und fruchtfressende Eulenfalterraupen|LARGE|Solanum lycopersicum;Capsicum annuum;Pelargonium;Chrysanthemum|Helicoverpa armigera;Spodoptera;Mamestra brassicae;Noctuelle de la tomate
096|RAVAGEUR|Tordeuses enrouleuses des feuilles|Leaf-rolling tortrix moths|Tortricidi arrotolatori delle foglie|Blattwickler|LARGE|Rosa;Malus domestica;Prunus domestica|Tortricidae;Archips;Pandemis;Cacoecimorpha
097|RAVAGEUR|Carpocapse des pommes et des poires|Codling moth|Carpocapsa del melo e del pero|Apfelwickler|CIBLE|Malus domestica;Pyrus communis;Cydonia oblonga;Juglans regia|Cydia pomonella;Ver de la pomme
098|RAVAGEUR|Carpocapse des prunes|Plum fruit moth|Cidia del susino|Pflaumenwickler|CIBLE|Prunus domestica;Prunus salicina|Cydia funebrana;Ver de la prune
099|RAVAGEUR|Tordeuse orientale du pêcher|Oriental fruit moth|Tignola orientale del pesco|Pfirsichtriebwickler|CIBLE|Prunus persica;Malus domestica;Pyrus communis|Grapholita molesta
100|RAVAGEUR|Mineuse de la tomate|Tomato leafminer|Tignola del pomodoro|Tomatenminiermotte|CIBLE|Solanum lycopersicum;Solanum melongena;Solanum tuberosum|Tuta absoluta
101|RAVAGEUR|Mineuse des agrumes|Citrus leafminer|Minatrice serpentina degli agrumi|Zitrusminiermotte|CIBLE|Citrus|Phyllocnistis citrella
102|RAVAGEUR|Mineuse du marronnier|Horse-chestnut leafminer|Minatrice dell'ippocastano|Rosskastanienminiermotte|CIBLE|Aesculus hippocastanum|Cameraria ohridella
103|RAVAGEUR|Hyponomeutes|Small ermine moths|Iponomeute|Gespinstmotten|LARGE|Euonymus europaeus;Malus domestica;Prunus padus|Yponomeuta
104|RAVAGEUR|Chenilles processionnaires|Processionary caterpillars|Bruchi delle processionarie|Prozessionsspinnerraupen|CIBLE|Pinus;Quercus;Cedrus|Thaumetopoea;Processionnaire du pin;Processionnaire du chêne
105|RAVAGEUR|Tenthrèdes du rosier|Rose sawflies|Tentredini della rosa|Rosenblattwespen|CIBLE|Rosa|Fausses chenilles du rosier;Arge;Blennocampa;Endelomyia
106|RAVAGEUR|Tenthrèdes des groseilliers|Gooseberry and currant sawflies|Tentredini del ribes e dell'uva spina|Stachelbeer- und Johannisbeerblattwespen|CIBLE|Ribes uva-crispa;Ribes rubrum|Fausses chenilles du groseillier;Nematus ribesii
107|RAVAGEUR|Tenthrède du sceau-de-Salomon|Solomon's-seal sawfly|Tentredine del sigillo di Salomone|Salomonssiegel-Blattwespe|CIBLE|Polygonatum|Phymatocera aterrima
108|RAVAGEUR|Mouche de la carotte|Carrot fly|Mosca della carota|Möhrenfliege|CIBLE|Daucus carota;Apium graveolens;Petroselinum crispum;Pastinaca sativa|Chamaepsila rosae;Psila rosae;Ver de la carotte
109|RAVAGEUR|Mouche du chou|Cabbage root fly|Mosca del cavolo|Kleine Kohlfliege|CIBLE|Brassica oleracea;Brassica rapa;Raphanus sativus|Delia radicum;Ver du chou
110|RAVAGEUR|Mouche de l'oignon|Onion fly|Mosca della cipolla|Zwiebelfliege|CIBLE|Allium cepa;Allium sativum;Allium porrum|Delia antiqua;Ver de l'oignon
111|RAVAGEUR|Mouche des semis|Seedcorn maggot fly|Mosca dei semi|Bohnenfliege|LARGE|Phaseolus vulgaris;Lathyrus oleraceus;Cucumis sativus;Solanum lycopersicum|Delia platura
112|RAVAGEUR|Mouche mineuse du poireau|Allium leafminer|Mosca minatrice del porro|Lauchminierfliege|CIBLE|Allium porrum;Allium cepa;Allium sativum|Phytomyza gymnostoma;Napomyza
113|RAVAGEUR|Mouche de la cerise|European cherry fruit fly|Mosca delle ciliegie|Kirschfruchtfliege|CIBLE|Prunus avium;Prunus cerasus|Rhagoletis cerasi;Ver de la cerise
114|RAVAGEUR|Drosophile asiatique|Spotted-wing drosophila|Moscerino dei piccoli frutti|Kirschessigfliege|LARGE|Fragaria;Rubus idaeus;Prunus avium;Vaccinium corymbosum|Drosophila suzukii;Drosophile à ailes tachetées
115|RAVAGEUR|Byture des framboises|Raspberry beetle|Verme del lampone|Himbeerkäfer|CIBLE|Rubus idaeus|Byturus tomentosus
116|RAVAGEUR|Mouche du narcisse|Narcissus bulb fly|Mosca del narciso|Große Narzissenfliege|CIBLE|Narcissus;Hippeastrum|Merodon equestris;Ver du bulbe
117|RAVAGEUR|Cécidomyie de l'hémérocalle|Daylily gall midge|Cecidomia dell'emerocallide|Taglilien-Gallmücke|CIBLE|Hemerocallis|Contarinia quinquenotata
118|RAVAGEUR|Dégâts floraux de perce-oreilles|Earwig damage to flowers|Danni delle forbicine ai fiori|Blütenschäden durch Ohrwürmer|LARGE|Dahlia;Chrysanthemum;Clematis|Forficule;Forficula auricularia;Pince-oreille
119|RAVAGEUR|Nématodes à galles|Root-knot nematodes|Nematodi galligeni|Wurzelgallennematoden|LARGE|Solanum lycopersicum;Solanum melongena;Cucumis sativus;Rosa|Meloidogyne;Nodosités des racines
